claim_id	evidence_id	evidence_kind	location	sha256	hash_mode	architecture_requirement
J-RAPIDITY-GALOIS-EQUIVARIANT-PRIME-SHELL	EV-J-RAPIDITY-GALOIS-EQUIVARIANT-PRIME-SHELL	PUBLIC_PROBE	probes/P-J-RAPIDITY-GALOIS-EQUIVARIANT-PRIME-SHELL-1	99570433ba6df1b0af9d122b8d346626c00c1d9987a93f9c766624af05fbdb7c	bundle-manifest-sha256-v1	two-architecture
J-IDEAL-COUNT-QUADRATIC-CHARACTER	EV-J-IDEAL-COUNT-QUADRATIC-CHARACTER	PUBLIC_PROBE	probes/P-J-IDEAL-RATIONAL-MOBIUS-DESCENT-1	91bc03ae58804f952e83b59567eb2f257f06f533ec473a2b99c77c7d032e46ee	bundle-manifest-sha256-v1	two-architecture
J-IDEAL-RATIONAL-MOBIUS-DESCENT	EV-J-IDEAL-RATIONAL-MOBIUS-DESCENT	PUBLIC_PROBE	probes/P-J-IDEAL-RATIONAL-MOBIUS-DESCENT-1	91bc03ae58804f952e83b59567eb2f257f06f533ec473a2b99c77c7d032e46ee	bundle-manifest-sha256-v1	two-architecture
J-MERTENS-IDEAL-TWOSUM	EV-J-MERTENS-IDEAL-TWOSUM	PUBLIC_PROBE	probes/P-J-IDEAL-RATIONAL-MOBIUS-DESCENT-1	91bc03ae58804f952e83b59567eb2f257f06f533ec473a2b99c77c7d032e46ee	bundle-manifest-sha256-v1	two-architecture
J-IDEAL-RAPIDITY-CHARACTER-LIFT	EV-J-IDEAL-RAPIDITY-CHARACTER-LIFT	PUBLIC_PROBE	probes/P-J-IDEAL-RAPIDITY-CHARACTER-LIFT-1	2463bbddbd5bc7158599d1493029331b2e7eb6a7bdfe6d87b15f52e154f11163	bundle-manifest-sha256-v1	two-architecture
J-RAPIDITY-TERNARY-SHELL-CENSUS	EV-J-RAPIDITY-TERNARY-SHELL-CENSUS	PUBLIC_PROBE	probes/P-J-IDEAL-RAPIDITY-CHARACTER-LIFT-1	2463bbddbd5bc7158599d1493029331b2e7eb6a7bdfe6d87b15f52e154f11163	bundle-manifest-sha256-v1	two-architecture
J-ZERO-RAPIDITY-ORIENTATION-FACTORIZATION	EV-J-ZERO-RAPIDITY-ORIENTATION-FACTORIZATION	PUBLIC_PROBE	probes/P-J-IDEAL-RAPIDITY-CHARACTER-LIFT-1	2463bbddbd5bc7158599d1493029331b2e7eb6a7bdfe6d87b15f52e154f11163	bundle-manifest-sha256-v1	two-architecture
J-RAPIDITY-TERM-WISE-TRIANGLE-NOGO	EV-J-RAPIDITY-TERM-WISE-TRIANGLE-NOGO	PUBLIC_PROBE	probes/P-J-IDEAL-RAPIDITY-CHARACTER-LIFT-1	2463bbddbd5bc7158599d1493029331b2e7eb6a7bdfe6d87b15f52e154f11163	bundle-manifest-sha256-v1	two-architecture
TRIVIAL-RAPIDITY-EVALUATION-BRIDGE	EV-TRIVIAL-RAPIDITY-EVALUATION-BRIDGE	INLINE_CANON	inline	66468ab92d1369261a9913c496fd8fbea9fd5251852e6185bae8ed17a626a616	registry-scope-sha256-v1	none
J-RESIDUE-PERIOD	EV-J-RESIDUE-PERIOD	PUBLIC_PROBE	probes/P-J-RESIDUE-PERIOD-1	c09e55027c62d7af1e2deb256275a1a392f2374218c0e74d1dca088b45f2708e	bundle-manifest-sha256-v1	two-architecture
J-RESIDUE-COLLAPSE-FIVE	EV-J-RESIDUE-COLLAPSE-FIVE	PUBLIC_PROBE	probes/P-J-RESIDUE-PERIOD-1	c09e55027c62d7af1e2deb256275a1a392f2374218c0e74d1dca088b45f2708e	bundle-manifest-sha256-v1	two-architecture
J-SIGNED-TRACE-MAHLER-RIGIDITY	EV-J-SIGNED-TRACE-MAHLER-RIGIDITY	PUBLIC_PROBE	probes/P-J-SIGNED-TRACE-MAHLER-RIGIDITY-1	bad0139dd99002460039021687a7770822a877993ab1d40f97ebfb587407f7e5	bundle-manifest-sha256-v1	two-architecture
AFFINE-READING-DEGREE-CENSUS	EV-AFFINE-READING-DEGREE-CENSUS	PUBLIC_PROBE	probes/P-AFFINE-QUADRATIC-READING-1	95a3d91f6707fda16b7baecdc1e17d54eda884e9a4e622540950014777d8f255	bundle-manifest-sha256-v1	two-architecture
AFFINE-QUADRATIC-FORM-UNIQUENESS	EV-AFFINE-QUADRATIC-FORM-UNIQUENESS	PUBLIC_PROBE	probes/P-AFFINE-QUADRATIC-READING-1	95a3d91f6707fda16b7baecdc1e17d54eda884e9a4e622540950014777d8f255	bundle-manifest-sha256-v1	two-architecture
CARRY-QUADRATIC-SYMMETRY	EV-CARRY-QUADRATIC-SYMMETRY	PUBLIC_PROBE	probes/P-CARRY-QUADRATIC-SYMMETRY-2	7799ef57695141d74409eccdc5da69a0d6aadfcf17783ee5623e91eaa499d9a1	bundle-manifest-sha256-v1	two-architecture
J-BINARY-NORM-DESCENT	EV-J-BINARY-NORM-DESCENT	PUBLIC_PROBE	probes/P-J-BINARY-NORM-DESCENT-1	1170f93a879410a1cd8f2119b731f305d94608e15dc11792620e604efe8ead97	bundle-manifest-sha256-v1	two-architecture
QDD-RECORD-SATURATION-DESCENT	EV-QDD-RECORD-SATURATION-DESCENT	PUBLIC_PROBE	probes/P-QDD-RECORD-MONOID-DESCENT-2	0f0fdb9f053d9c7498908a7ba105c1c509e339bd194b801bdcfa33e4a5815fcf	bundle-manifest-sha256-v1	two-architecture
QDD-COMMUTATOR-READOUT-EQUALITY-FORK	EV-QDD-COMMUTATOR-READOUT-EQUALITY-FORK	PUBLIC_PROBE	probes/P-QDD-COMMUTATOR-READOUT-FORK-2	94ab2859cd0bbd5ac43bb4699bd48ac14a7bde781b96d00dce6a5998f86c673b	bundle-manifest-sha256-v1	two-architecture
QDD-PURE-RECORD-COMMUTATOR-FAITHFULNESS	EV-QDD-PURE-RECORD-COMMUTATOR-FAITHFULNESS	PUBLIC_PROBE	probes/P-QDD-AFFINE-PURE-RECORD-BRIDGE-1	03c4f81854fad29baa6f4fa5112e93733861b0b770f4f2752e5d79ea555f0932	bundle-manifest-sha256-v1	two-architecture
QDD-PURE-RECORD-TYPED-BRIDGE-BOUNDARY	EV-QDD-PURE-RECORD-TYPED-BRIDGE-BOUNDARY	PUBLIC_PROBE	probes/P-QDD-PURE-RECORD-TYPED-BRIDGE-1	0804101ff4a53f5b0954360c518149add2f94cc6ff51eacb81f1ce18ec32632b	bundle-manifest-sha256-v1	two-architecture
QDD-PURE-RECORD-PORT-UNIQUENESS	EV-QDD-PURE-RECORD-PORT-UNIQUENESS	PUBLIC_PROBE	probes/P-QDD-PURE-RECORD-PORT-CANONICAL-1	f6d5d8098f76f3402d7865c7b10ded2d6f6e3533538c2b961467e5824f2b18cf	bundle-manifest-sha256-v1	two-architecture
QDD-COMMUTATOR-SATURATION-SELECTION	EV-QDD-COMMUTATOR-SATURATION-SELECTION	PUBLIC_PROBE	probes/P-QDD-COMMUTATOR-SATURATION-CLOSURE-1	b2912abe0eda6018ee6cc00eb9c6d7e51bae0ed8cc672f72fce7ee74da350b5f	bundle-manifest-sha256-v1	two-architecture
QDD-MECHANICAL-EVENT-SAMPLER	EV-QDD-MECHANICAL-EVENT-SAMPLER	PUBLIC_PROBE	probes/P-QDD-DETERMINISTIC-EVENT-SAMPLER-1	657946b5ab07aeb41808ccdde9be1bca01a1e001ddf43e356b468aaba57e25ba	bundle-manifest-sha256-v1	two-architecture
QDD-FINITE-MEMORY-O2B-BOUNDARY	EV-QDD-FINITE-MEMORY-O2B-BOUNDARY	PUBLIC_PROBE	probes/P-QDD-INSTRUMENT-CLASS-COMPLETENESS-1	f6cf413cfc6dd8bb1e3d621fd545281f8fe7df7a0de0126804ed9fd43b4dd270	bundle-manifest-sha256-v1	two-architecture
QDD-EVENT-CONTEXT-BANK	EV-QDD-EVENT-CONTEXT-BANK	PUBLIC_PROBE	probes/P-QDD-EVENT-CARRY-BANK-1	234fea8f560c0f49c9676cb043f41116ca074110fcb4dee7e57929fca338a34c	bundle-manifest-sha256-v1	two-architecture
QDD-TERMINAL-EVENT-SEMANTICS	EV-QDD-TERMINAL-EVENT-SEMANTICS	INLINE_CANON	inline	aa11aa00883b70a3ba6d2170e5554f4b757e8368a47f4b8f3fb33c5db1778b2c	registry-scope-sha256-v1	none
QDD-INSTRUMENT-CLASS-COMPLETENESS	EV-QDD-INSTRUMENT-CLASS-COMPLETENESS	INLINE_CANON	inline	99b14df0bda674d2723f4f2d567a74e2e0ece546a73da9a24bd99d3b07786408	registry-scope-sha256-v1	none
QPAIR-HERM-INTEGER-NONDESCENT	EV-QPAIR-HERM-INTEGER-NONDESCENT	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-TRANSPOSE-FIBER-REDUNDANCY	EV-QPAIR-TRANSPOSE-FIBER-REDUNDANCY	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-TYPED-MIXED-C4-CLOSURE	EV-QPAIR-TYPED-MIXED-C4-CLOSURE	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-SYM2-2I-IRREDUCIBLE	EV-QPAIR-SYM2-2I-IRREDUCIBLE	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	EV-QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-2I-ONLY-PAIR-FORCING	EV-QPAIR-2I-ONLY-PAIR-FORCING	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-MIXED-C4-NORMALIZES-2I	EV-QPAIR-MIXED-C4-NORMALIZES-2I	PUBLIC_PROBE	probes/P-QPAIR-C4-2I-MINIMALITY-1	6f1d5a5859a193cb68eb53f6ed58f5da21b25f3c0084c3875eede690317ea592	bundle-manifest-sha256-v1	two-architecture
QPAIR-PRODUCT-COMPOSITION	EV-QPAIR-PRODUCT-COMPOSITION	PUBLIC_PROBE	probes/P-QPAIR-SYM2-TENSOR-DEFECT-1	ae345af394adf1693b5515d038743dc3f3697fa0c55340972eb979682538fed5	bundle-manifest-sha256-v1	two-architecture
QPAIR-CROSS-SECTOR-NONDESCENT	EV-QPAIR-CROSS-SECTOR-NONDESCENT	PUBLIC_PROBE	probes/P-QPAIR-SYM2-TENSOR-DEFECT-1	ae345af394adf1693b5515d038743dc3f3697fa0c55340972eb979682538fed5	bundle-manifest-sha256-v1	two-architecture
