item_id	depends_on	relation	basis
QDD-PASSIVE-QUADRATIC-CALIBRATION	DEF-QDD-PASSIVE-READING-MAPS	REQUIRES	the exact existing passive reading-map definition fixes the five source-to-record maps being classified; owner adoption is acknowledged in the theorem scope and is not a lower-status mathematical premise
QDD-PASSIVE-QUADRATIC-CALIBRATION	DEF-QDD-PASSIVE-PARTITION-FAMILY	REQUIRES	the exact three-atom projectors, named partitions and block orders define the mathematical reading family used here
QDD-PASSIVE-QUADRATIC-CALIBRATION	DEF-QDD-PASSIVE-WEIGHT-RECORD	REQUIRES	literal five-field record equality, supported normalization and the explicit zero branch define the retained information
QDD-PASSIVE-QUADRATIC-CALIBRATION	QDD-THREE-ATOM-PARTITION-COMPLETENESS	REQUIRES	the exact atom forms and coarsening make the finest atom record equivalent to the entire chosen passive family
QDD-PASSIVE-QUADRATIC-CALIBRATION	DECODER-RETARDED-LOCAL-ENERGY-TRANSPORT	REQUIRES	the unchanged centered five-site source and full five-shell linear scalar wave supply the explicitly reconstructed spatial responses
QDD-PASSIVE-QUADRATIC-CALIBRATION	DECODER-RESERVOIR-RECORD-ACCOUNTING	REQUIRES	the fixed first cold conductance-one update supplies signed port amplitudes and deposited energies
QDD-PASSIVE-QUADRATIC-CALIBRATION	DECODER-RESERVOIR-QUADRATIC-PARTITION	REQUIRES	linearity and quadratic energy forms identify all later finite fixed-context mean energies as quadratic ensemble targets
QDD-PASSIVE-QUADRATIC-CALIBRATION	TRC1-CALIBRATION-IDENTIFIABILITY	REQUIRES	the antecedent finite-ensemble row-space criterion and scalar e0/e1 collision are restated independently and compared with the finer selected family
QDD-PASSIVE-QUADRATIC-CALIBRATION	QDD-INSTRUMENT-APPARATUS	BOUNDED_BY	mathematical expectation calibration supplies no physical source, port, clock, accessible observable, preparation law, instrument or complete apparatus family
QDD-PASSIVE-QUADRATIC-CALIBRATION	QDD-TERMINAL-EVENT-SEMANTICS	BOUNDED_BY	quadratic prediction and conditional threshold calculations supply no independently justified completed physical event or saturation law
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	DEF-QDD-PASSIVE-READING-MAPS	REQUIRES	the exact existing passive reading-map definition fixes the five source-to-record maps being classified; owner adoption is acknowledged in the theorem scope and is not a lower-status mathematical premise
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	DEF-QDD-PASSIVE-PARTITION-FAMILY	REQUIRES	the exact three-atom projectors, named partitions and block orders define the mathematical reading family used here
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	DEF-QDD-PASSIVE-WEIGHT-RECORD	REQUIRES	literal five-field record equality, supported normalization and the explicit zero branch define the retained information
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	QDD-THREE-ATOM-PARTITION-COMPLETENESS	REQUIRES	the exact atom forms, coherent supported and zero records and coarsening identify the frozen (0,1,5) fibre and every chosen passive view
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	TRC1-CALIBRATION-IDENTIFIABILITY	REQUIRES	the existing pointed balanced source, complete conditional cold chain and stipulated preparation-ensemble interpretation supply the comparison setting without a physical occurrence law
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	DECODER-RESERVOIR-RECORD-ACCOUNTING	REQUIRES	the fixed cold origin update, zero initial heat and exact floor threshold retain zero and multiple crossings
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	DECODER-RESERVOIR-QUADRATIC-PARTITION	REQUIRES	linearity of each fixed cold context makes its finite-horizon energy means quadratic in the source, so equality of raw Sigma fixes every such mean
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	QDD-INSTRUMENT-APPARATUS	BOUNDED_BY	exact finite preparation ensembles and a moment repair do not supply physical source or port calibration, an accessible extra observable, post-state/reset, realized occurrence or a complete physical apparatus family
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	QDD-TERMINAL-EVENT-SEMANTICS	BOUNDED_BY	conditional mathematical threshold counts and archival records are not an independently justified physical completed event or a saturation law
QDD-PASSIVE-NATIVE-MEMORY	DEF-QDD-PASSIVE-READING-MAPS	REQUIRES	the exact existing passive reading-map definition fixes the five source-to-record maps being classified; owner adoption is acknowledged in the theorem scope and is not a lower-status mathematical premise
QDD-PASSIVE-NATIVE-MEMORY	DEF-QDD-PASSIVE-PARTITION-FAMILY	REQUIRES	the exact three-atom projectors, named partitions and block orders define the mathematical reading family used here
QDD-PASSIVE-NATIVE-MEMORY	DEF-QDD-PASSIVE-WEIGHT-RECORD	REQUIRES	literal five-field record equality, supported normalization and the explicit zero branch define the retained information
QDD-PASSIVE-NATIVE-MEMORY	QDD-THREE-ATOM-PARTITION-COMPLETENESS	REQUIRES	exact atom weights, positivity, zero support and coarsening underlie complete-record equality and finite census keys
QDD-PASSIVE-NATIVE-MEMORY	U-NATIVE-CHART-AND-QDD-READBACK	REQUIRES	the five-to-one F_3 fibers, explicit inverse phase maps and bijective synchronized tail give the all-clock factor criterion and initialized recovery construction
QDD-PASSIVE-NATIVE-MEMORY	QDD-INSTRUMENT-APPARATUS	BOUNDED_BY	initialized mathematical tags and preparation cardinality optima supply no physical preparation, writing, persistent register, instrument, reset or realized event law
QDD-PASSIVE-NATIVE-MEMORY	QDD-TERMINAL-EVENT-SEMANTICS	BOUNDED_BY	exact information recovery is not a physical event-completion law or an independent saturation principle
