claim_id	previous_status	proposed_status	disposition	registry_row_sha256	rationale
TRIVIAL-RAPIDITY-EVALUATION-BRIDGE	O	O	PRESERVE_EXACT_ROW	63151ae6e454a5fa290d58eda3abd775b914a39143c5e60361a54f507395336b	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
QDD-TERMINAL-EVENT-SEMANTICS	O	O	PRESERVE_EXACT_ROW	ec7b026653c7af60bb4a04a358cceb58263abfb14881bfee58a37453f77de282	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
QDD-INSTRUMENT-CLASS-COMPLETENESS	O	O	PRESERVE_EXACT_ROW	f16cd7f4f02c25ba3754f73f029310745c976434a39c6b419a54611862379ddb	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
METRO-ADMISSIBILITY	O	O	PRESERVE_EXACT_ROW	ef1443915b2a8d17c5dfd2afa57d3979b93304156c9fe52b48c1f3dfd004dfd2	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
METRO-EDGE-SCALE	O	O	PRESERVE_EXACT_ROW	6c26781da6737dfe6d8df8b3fa40b7c8da3d44c9fe17b0675768084cdbccb02f	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
QUANT-SUBSTRATE	O	O	PRESERVE_EXACT_ROW	41bcb4f944f2ff2fb29aa13d2a0629139b2c98ec81b77cdac0d199820cee724f	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
COLOR-MEASURE-SELECTION	O	O	PRESERVE_EXACT_ROW	2a2720b3b171af259e2292003818545e768706daa9a755ab84092ad2e2b8aa73	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
QNM-LEAVER-MU	O	O	PRESERVE_EXACT_ROW	0271e27168786689b6379f1823de9417977b6261bafd30c288181515e816ec27	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
TT-VECTOR-STATE-NORMALIZATION	O	O	PRESERVE_EXACT_ROW	e55bbfbf809870924b105be1c4de13905b52adbe27eedfad3031b5f682c75056	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
DRESS-CROSSCOUNT	O	O	PRESERVE_EXACT_ROW	c9b00bf29a043f983502624ab5e1f7286ae736773a3bb68c32716ef69d64858e	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
