claim_id	status	scope	canon_section	evidence	falsifier
J-HODGE-PREDICTIVE-CLOSURE	T	L1 on the marked A4 exterior carrier over F=Q(sqrt(5)): the Hodge signs have dimension 3, each directed J cross block has rank 1, each fixed-J observation kernel has dimension 2 and the least F-linear predictive realization has dimension 4; the complete future-word class generated by Lambda^2(A5) and L has minimum 6; a decomposable current-output collision separates at the next step; no physical dimension, time, native-U bridge or unrestricted encoding bound	3. The kernel and the census	probes/P-J-HODGE-PREDICTIVE-CLOSURE-1	an exact failure of the marked conjugacy, Hodge ranks, cross ranks, fixed-J observation or invariant-hull rank, joint-word rank-six certificate or decomposable collision; an integrity mismatch without mathematical negation is STOP
A4-RAMIFIED-HODGE-TRACEKERNEL	T	L1 on the marked integral Lambda^2 A4: K is integral with K^2=5I, its mod-5 reduction has square zero and rank 3 with im(Kbar)=ker(Kbar)=ell wedge Vbar; the induced quotient Vbar/<ell> to (W5,g5) is an exact isometry and the descended alternating bracket is exactly minus the public metric-volume bracket in the frozen orientation, with marked A5 equivariance; no spatial-commutator forcing or physical lift	3. The kernel and the census	probes/P-A4-RAMIFIED-HODGE-TRACEKERNEL-1	an exact failure of the integral or residual Hodge identities, radical or image/kernel description, isometry, fixed orientation scalar -1, bracket or marked A5 equivariance; TRACEKERNEL-CURVATURE-FORCING is outside this theorem
J-HODGE-HERM2-LOXODROME	T	L1 for the marked fixed-J predictive carrier E_+: dimension 4, L-invariance, real wedge signature (3,1), exact beta preservation and characteristic polynomial (X^2-3X+1)(X^2-phi X+1); -J^-2=phi^2 zeta10 gives exactly the same modulus and phase factors as the normalized diagonal Hermitian action associated with diag(-J^-2,1); no canonical physical Herm2 identification, native-U intertwiner or physical time	3. The kernel and the census	probes/P-J-HODGE-HERM2-LOXODROME-1	an exact failure of dimension, invariance, signature, preservation, either characteristic factor, cyclotomic identity or algebraic Hermitian-factor comparison at the frozen marking
J-C5-HODGE-CONIC-ATLAS	T	L1 for all six Sylow-5 subgroups P in the marked A5: each fixes one distinct line T_P in W_-, every one of the 24 order-five elements c has im(P_- Lambda^2(I+c^2) P_+)=T_<c>, the real lines have squared angle 1/5 and projector sum 2I3, their normalizers have order 10, and the same subgroup labels yield exactly the six projective isotropic lines of residual W5; mathematical predictive charts only, no selected physical chart	3. The kernel and the census	probes/P-J-C5-HODGE-CONIC-ATLAS-1	an exact failure of the six-subgroup census, fixed-line dimensions or distinctness, any cross-image identity, invariant angle or frame sum, normalizer or transitivity test, or equality with the complete residual conic
U-J-HODGE-FINITE-READER-BOUNDARY	T	L1 for the marked exterior J target: its full periodic-vector locus is im(R)=ker(L^10-I), dimension 4, with every nonzero vector of exact period 10 and intersection with E_+ of dimension 2; every fixed read from finitely many configurations realizing L^n v for all n has Tv=0, while a nonzero hyperbolic target through N requires N+1 configurations; fixed finite-address free-linear encodings with fixed linear output also have zero hyperbolic image, of rank at most 4 or at most 2 inside E_+; source periodicity is unnecessary and unrestricted counter access is outside scope	2. Time, space, and the decoder	probes/P-U-J-HODGE-CHECKPOINT-NOGO-1	an exact counterexample to the primary/periodic split, exact period, E_+ intersection, universal finite-image argument or fixed-code rank consequence under the stated fixed finite hypotheses; unbounded or time-dependent output is a different class
J-HODGE-RATIONAL-CLOSURE	T	L1 over F=Q(sqrt(5)): the conjugate fixed-J charts E_+,E_- have dimensions 4, sum W_F of dimension 6 and intersection im(T)_F of dimension 2; every Q-defined subspace whose scalar extension contains the full E_+ equals W_Q, without requiring L-invariance, and Lambda^2 A4 attains integral rank 6; E_+ intersect W_Q=im(T)_Q and its periodic two-plane has no nonzero rational vector; no general additive-encoding or native-checkpoint identification	3. The kernel and the census	probes/P-J-HODGE-INTEGRAL-LIFT-1	an exact failure of Galois conjugacy, chart sum/intersection, rational intersection, containing-carrier lower bound or integral attaining lattice at the frozen scope
NATIVE-BC-HODGE-D5-OBSTRUCTION	T	L1 over F5 for the frozen canonical native b,c linear pair and marked Hodge D5 pair: the order-five products have Jordan ranks 1,0,0,0,0 and 4,3,2,1,0 respectively; each of the two frozen cycle-orientation simultaneous Hom spaces has dimension 8 and no invertible map; the native pair has invariant symmetric-form dimension 11; DIFFER excludes only this direct representation seam and is not a falsification of native U or a transported-data nonuniqueness theorem	3. The kernel and the census	probes/P-NATIVE-BC-HODGE-D5-SEAM-1	an exact native/Hodge rank mismatch with the stated certificate, a wrong complete Hom-space dimension, an admitted invertible simultaneous intertwiner, or a wrong invariant symmetric-form dimension
NATIVE-LINEAR-HODGE-ORDER5-OBSTRUCTION	T	L1 for the complete group of the five declared native checkpoint linear parts: order 200, exactly 24 order-five elements, all of Jordan type J2(1)+J1(1)^4; the marked exterior Hodge cycle and inverse have type J5(1)+J1(1), so no finite native word linear part is similar to either; the fired subgroup generated by b,d,e has order 4 and no order-five element; affine, nonlinear, history, gauge and counter constructions remain outside this word-linear class	3. The kernel and the census	probes/P-NATIVE-LINEAR-ORDER5-HODGE-CLASS-1	an exact failure of complete group closure, group or order-five census, Jordan-rank classification or fired-subgroup classification, or an admitted Hodge-type finite native word linear part
NATIVE-LINEAR-JHODGE-STEP-OBSTRUCTION	T	L1 over F5: the actual marked target Lambda^2(I+C^2) has order 10 and type J5(-1)+J1(-1), with ranks of (L+I)^k equal to 4,3,2,1,0,0; the complete native linear group has only -I and 24 shallow rank-one (-1)-unipotent elements, hence zero native word linear parts similar to that actual target; STEP-DIFFER does not exclude affine, nonlinear, history-dependent, gauge or counter-assisted readings	3. The kernel and the census	probes/P-NATIVE-LINEAR-JHODGE-STEP-CLASS-1	an exact failure of target order/Jordan ranks or the complete native (-1)-unipotent census, or an admitted finite native word linear part similar to the frozen actual target
J-HODGE-COUNTER-CARRY-EXPONENT	T	L1 arithmetic: s2(n+1)-s2(n)=1-nu2(n+1), and C(n)=sum_(m=1)^n nu2(m)=nu2(n!)=n-s2(n) is the unique normalized integer complement to one count per step; r^C(n) uniquely completes r^s2(n) to r^n in the free cyclic exponent carrier; the finite order-eight specialization remains finite, while the separate positive characteristic-zero rho^2=phi specialization gives fourth powers phi^(2n) and phi^(-2n), with the loxodromic torsion phase separately supplied; classical identity and typed exponent comparison only, no native-Hodge or physical clock/gravity bridge	3. The kernel and the census	probes/P-J-HODGE-COUNTER-CARRY-FACTOR-1	an exact counterexample to the all-n digit increment, factorial valuation, uniqueness, free-exponent completion or either separately typed specialization; equating the two carriers or closing SQRT-PHI-TIME-GRAVITY exceeds scope
