branch	disposition	abandoned_pin	has_prereg	has_result	verification	result_file	note
agent/b-c-lane-2026-07-17	ARCHIVE	0	0	1	single-pass	notes/incubation/README_B-C_2026-07-17.md	-
agent/c-jacobi-phase-cross-1	ARCHIVE	0	1	1	direct	notes/C-JACOBI-PHASE-CROSS-1/C-JACOBI-PHASE-CROSS-1.md	strict ancestor of notes/c-jacobi-phase-cross-1-canonical-h-review; fold the descendant only, or the same eight blobs land twice
agent/canon-v27-tm-sym2-retire-disposition	ARCHIVE	0	0	0	single-pass	-	-
agent/incubation-checker	ARCHIVE	0	0	0	direct	-	touches tools/check_policy.py and .github/workflows/policy.yml; conflicts with this cleanup
agent/incubation-contract	FOLD	0	0	0	direct	-	rewrites AGENTS.md; conflicts with this cleanup
agent/review-lambda-cocycle-conductor-capacity-2026-08-14	FOLD	0	0	1	direct	notes/C-LAMBDA-COCYCLE-CONDUCTOR-CAPACITY-1-N/R-LAMBDA-COCYCLE-CONDUCTOR-CAPACITY-1-N-REVIEW/REVIEW.md	-
agent/two-architecture-workflow	ARCHIVE	0	0	0	single-pass	-	-
ci/v27-activation-preflight-209	ARCHIVE	0	0	0	single-pass	-	-
claude/coin-minimal-read-type-1c194b	ARCHIVE	0	0	0	single-pass	-	-
claude/science-status-v31-plan-ds4adk	ARCHIVE	0	0	0	single-pass	-	-
codex/cm-2i-qcarrier-hardening	ARCHIVE	0	0	0	single-pass	-	-
codex/entropy-mackey-consolidation	ARCHIVE	0	0	0	single-pass	-	-
codex/lean-public-audit-policy	FOLD	0	0	0	direct	-	touches AGENTS.md, POLICY.md, tools/check_policy.py and adds root audits/; conflicts with this cleanup and needs a POLICY layout change
fix/policy-architecture-timeout-15	ARCHIVE	0	0	0	single-pass	-	-
fold/canon-v22	ARCHIVE	0	0	0	single-pass	-	-
fold/canon-v26-c8-bilinear-shadow	ARCHIVE	0	0	0	single-pass	-	-
fold/canon-v26-c8-metro-reduction-arrows	ARCHIVE	0	0	0	single-pass	-	-
fold/canon-v27-minimal-read	ARCHIVE	0	0	0	single-pass	-	-
fold/ramified-tm-lift-v11	ARCHIVE	0	0	0	single-pass	-	-
handoff/audit-euler-widder-depth-20260820	FOLD	0	1	1	single-pass	notes/AUDIT-EULER-WIDDER-DEPTH-2026-08-20/AUDIT-EULER-WIDDER-DEPTH_2026-08-20.md	-
handoff/audits-lambda-grid-qdd-terminality-20260820	FOLD	0	1	1	single-pass	notes/HANDOFF-AUDITS-2026-08-20/lambda-grid/AUDIT-LAMBDA-COCYCLE-GRID_2026-08-20.md	-
notes/C-AFFINE-READING-CHARACTER-CENSUS-1	ARCHIVE	0	1	1	single-pass	notes/C-AFFINE-READING-CHARACTER-CENSUS-1/RESULT-C-AFFINE-READING-CHARACTER-CENSUS-1.md	-
notes/C-EM-UNIT-CARRIER-1	ABANDON	1	1	0	direct	-	notes lane: pin frozen with no verifier at all; closes as a notes record, not a probes/ record
notes/C-TRACEKERNEL-EXTERIOR-CLOSURE-1-N	ARCHIVE	0	1	1	direct	notes/PROMO-C-TRACEKERNEL-EXTERIOR-CLOSURE-1/BREAK-RESULT.md (descendant ref)	-
notes/PROMO-C-TRACEKERNEL-EXTERIOR-CLOSURE-1	ARCHIVE	0	1	1	single-pass	notes/PROMO-C-TRACEKERNEL-EXTERIOR-CLOSURE-1/BREAK-RESULT.md	-
notes/c-entanglement-local-relation-pythagoras-1-n	ARCHIVE	0	1	1	single-pass	notes/C-ENTANGLEMENT-LOCAL-RELATION-PYTHAGORAS-1-N/RESULT.md	-
notes/c-entanglement-relational-wedge-1-n	ARCHIVE	0	1	1	single-pass	notes/C-ENTANGLEMENT-RELATIONAL-WEDGE-1-N/RESULT.md	-
notes/c-golden-ame-a5-lu-covariants-1-n	FOLD	0	1	1	single-pass	notes/C-GOLDEN-AME-A5-LU-COVARIANTS-1-N/RESULT.md	-
notes/c-golden-ame-a5-lu-covariants-2-n	FOLD	0	1	1	single-pass	notes/C-GOLDEN-AME-A5-LU-COVARIANTS-2-N/RESULT.md	-
notes/c-golden-ame-galois-descent-1-n	FOLD	0	1	1	single-pass	notes/C-GOLDEN-AME-GALOIS-DESCENT-1-N/RESULT.md	-
notes/c-golden-ame-j-rigidity-1-n	FOLD	0	1	1	single-pass	notes/C-GOLDEN-AME-J-RIGIDITY-1-N/RESULT.md	-
notes/c-golden-ame-twoplace-1-n	FOLD	0	1	1	single-pass	notes/C-GOLDEN-AME-TWOPLACE-1-N/RESULT.md	-
notes/c-golden-ame-vs-gg-artisanal-f8-1-n	FOLD	0	1	1	single-pass	notes/C-GOLDEN-AME-vs-GG-ARTISANAL-F8-1-N/RESULT.md	-
notes/c-j-artin-mazur-zeta-1-n	FOLD	0	0	0	single-pass	-	-
notes/c-jacobi-phase-cross-1-canonical-h-review	FOLD	0	1	1	single-pass	notes/C-JACOBI-PHASE-CROSS-1/C-JACOBI-PHASE-CROSS-1.md	-
notes/c-mass-read-n	FOLD	0	0	0	direct	-	-
notes/c-photon-point-group-1	ARCHIVE	0	1	1	direct	notes/c-photon-point-group-1/RESULT-C-PHOTON-POINT-GROUP-1_2026-08-04.md	-
