item_id	depends_on	relation	basis
TT-VECTOR-MOMENT-UNDERDETERMINATION	TT-SQUARING-DECODER	BOUNDED_BY	the theorem evaluates the same formal square w=v^2 but does not inherit the lower-status physical decoder reading
TT-VECTOR-MOMENT-UNDERDETERMINATION	POL-READ	BOUNDED_BY	the plus/cross convention bounds any interpretation of the complex square; no source, propagation, normalization or observable is imported
TT-VECTOR-MOMENT-UNDERDETERMINATION	TT-VECTOR-STATE-NORMALIZATION	BOUNDED_BY	the theorem constrains admissible state closures but supplies neither a normalization nor a numerical r_T(k)
QDD-U-INDUCED-CHANNEL	DEF-AUTONOMOUS-STATE	REQUIRES	the formulas are statements about the registered Omega, selector, generators and autonomous update U
QDD-U-INDUCED-CHANNEL	DEF-QDD-BALANCED-PISTON	REQUIRES	the piston/fiber split and the equality between sum pi mod 5 and the balanced-piston sum are frozen on the public QDD carrier
QDD-U-INDUCED-CHANNEL	QDD-INSTRUMENT-APPARATUS	BOUNDED_BY	the exact algebraic channel structure supplies no independent physical selector, realized event law or sampling map
QDD-U-INDUCED-FINITE-NONSELECTION	QDD-U-INDUCED-CHANNEL	REQUIRES	the finite classification evaluates record maps on the registered U-induced piston/fiber channel
QDD-U-INDUCED-FINITE-NONSELECTION	DEF-QDD-BRANCH-WEIGHT-PAIRING	REQUIRES	the realization predicate compares exact finite rates with the frozen ordered branch weights and density
QDD-U-INDUCED-FINITE-NONSELECTION	DEF-QDD-MATTER-RECORD	REQUIRES	the ZERO_DENOMINATOR, normalized-weight and density tags use the frozen MatterData schema
QDD-U-INDUCED-FINITE-NONSELECTION	QDD-INSTRUMENT-NONSELECTION	REQUIRES	the eligible family test uses exactly the frozen rational post-state instrument family and no enlarged apparatus class
QDD-U-INDUCED-FINITE-NONSELECTION	QDD-INSTRUMENT-APPARATUS	BOUNDED_BY	the complete 900-pair finite classification neither closes O2 or O1 nor excludes another admissible physical apparatus class
DEF-QPAIR-HERM-SLOT	DEF-QPAIR-SPIN-CARRIER	REQUIRES	the Hermitian slot is defined on the independent integral spin carrier
DEF-QPAIR-SYM-SLOT	DEF-QPAIR-SPIN-CARRIER	REQUIRES	the symmetric slot is defined on the independent integral spin carrier
DEF-QPAIR-MIXED-C4	DEF-QPAIR-SPIN-CARRIER	REQUIRES	the mixed rational-linear action is defined on the independent integral spin carrier
DEF-QPAIR-ADMISSIBLE-LINEAR-CLASS	DEF-QPAIR-HERM-SLOT	REQUIRES	the admissible spaces retain the fixed Hermitian slot with its original linear readout
DEF-QPAIR-ADMISSIBLE-LINEAR-CLASS	DEF-QPAIR-SYM-SLOT	REQUIRES	the ambient formal quadratic coordinates include the typed symmetric slot
DEF-QPAIR-ADMISSIBLE-LINEAR-CLASS	DEF-QPAIR-MIXED-C4	REQUIRES	the admissible spaces are stable under pullback by the frozen mixed action
DEF-QPAIR-ADMISSIBLE-LINEAR-CLASS	COLOR-INTEGRAL-LIFT	REQUIRES	the marked generators S0 and T0 are the registered integral 2I lift
QPAIR-SYM2-2I-IRREDUCIBLE	COLOR-CORE-2I	REQUIRES	the marked finite group is the registered binary-icosahedral core
QPAIR-SYM2-2I-IRREDUCIBLE	COLOR-GOLDEN-TABLE	REQUIRES	the public class order and rows 2a, 2b, 3a and 3b type the symmetric-square character identity
QPAIR-SYM2-2I-IRREDUCIBLE	COLOR-INTEGRAL-LIFT	REQUIRES	the orbit certificate uses the registered marked matrices S0 and T0
QPAIR-SYM2-2I-IRREDUCIBLE	DEF-ACTION-LAYERS	REQUIRES	the claim is confined to L1 representation theory and creates no cross-layer lift
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	QPAIR-SYM2-2I-IRREDUCIBLE	REQUIRES	the orbit of the mixed-action seed forces the full symmetric-square module
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	DEF-QPAIR-SPIN-CARRIER	REQUIRES	the relative closure is evaluated on the frozen independent spin carrier
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	DEF-QPAIR-HERM-SLOT	REQUIRES	the admissible class must retain this fixed linearly readable slot
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	DEF-QPAIR-SYM-SLOT	REQUIRES	the forced complement is the frozen symmetric slot
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	DEF-QPAIR-MIXED-C4	REQUIRES	the off-diagonal Hermitian coordinate is sent to the symmetric seed by the frozen mixed action
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	DEF-QPAIR-ADMISSIBLE-LINEAR-CLASS	REQUIRES	minimality is relative only to this typed linear class
QPAIR-MINIMAL-2I-CLOSURE-OF-HERM-UNDER-MIXED-C4	DEF-ACTION-LAYERS	REQUIRES	the result is L1 carrier algebra and supplies no decoder, stream or measure lift
DEF-MJ	AXIOM-J	REQUIRES	M_J is multiplication by J
DEF-AUTONOMOUS-STATE	DEF-CHECKPOINT	REQUIRES	Omega contains the finite checkpoint
DEF-AUTONOMOUS-STATE	DEF-ODOMETER-ORBIT	REQUIRES	Omega contains the forward odometer orbit
DEF-AUTONOMOUS-STATE	DEF-KERNEL-GENERATORS	REQUIRES	U applies one declared generator
DEF-AUTONOMOUS-STATE	DEF-SELECTOR	REQUIRES	U reads the declared selector
DEF-LOG-STREAM	DEF-AUTONOMOUS-STATE	REQUIRES	the Log is a derived orbit record
DEF-DECODER-MATTER	DEF-AUTONOMOUS-STATE	REQUIRES	D_matter reads a forward orbit
DEF-DECODER-GEOMETRY	DEF-DECODER-MATTER	REQUIRES	geometry reads MatterData
DEF-DECODER-CLOCK	DEF-DECODER-GEOMETRY	REQUIRES	clock reads accumulated geometry
DEF-DECODER-COMPLETION-CONTRACT	DEF-DECODER-CLOCK	REQUIRES	the completion-contract schema refines the declared partial decoder chain without asserting a completed decoder
DEF-DECODER-COMPLETION-CONTRACT	DEF-ACTION-LAYERS	REQUIRES	every declared contract transition records its L1-L6 endpoints without asserting or authorizing a lift
DEF-ARCHITECTURE	DEF-AUTONOMOUS-STATE	REQUIRES	declared architecture contains Omega and U
DEF-ARCHITECTURE	DEF-DECODER-CLOCK	REQUIRES	declared architecture contains the partial decoder
J-UNIT	AXIOM-J	REQUIRES	unit theorem starts from J
J-PROJECTIONS	AXIOM-J	REQUIRES	polar decomposition starts from J
J-MODULUS-CHORD	AXIOM-J	REQUIRES	chord identity starts from J
PI-FROM-J	AXIOM-J	REQUIRES	principal logarithm identity starts from J
J-TENTH-ROOT	AXIOM-J	REQUIRES	root identity starts from J
J-GOLDEN-BRIDGE	AXIOM-J	REQUIRES	bridge identities start from J
J-STEP	DEF-MJ	REQUIRES	J-STEP is the matrix action of M_J
PLENUM-POINT	AXIOM-J	REQUIRES	plenum identities start from J
J-RAMIFIED-CHORD	AXIOM-J	REQUIRES	ramified chord starts from J
LOG-AXES-INDEPENDENCE	AXIOM-J	REQUIRES	the two logarithmic axes are projections of J
AXIOM-PROJECTION-DICTIONARY	J-PROJECTIONS	REQUIRES	registry scope names the theorem input
AXIOM-PROJECTION-DICTIONARY	PLENUM-POINT	REQUIRES	registry scope names the theorem input
AXIOM-PROJECTION-DICTIONARY	J-MODULUS-CHORD	REQUIRES	registry scope names the theorem input
AXIOM-PROJECTION-DICTIONARY	J-RAMIFIED-CHORD	REQUIRES	registry scope names the theorem input
BOOST-COUNT-LADDER	BOOST-READING-SPLIT	REQUIRES	count dictionary rests on the exact split
READING-SPLIT	CODEC-TR4	REQUIRES	linear leg is CODEC-TR4
SILVER-SIBLING	SILVER-RING-FACTS	REQUIRES	dictionary rests on finite ring facts
CENTRAL-LIFT-PHASE	J-PROJECTIONS	REQUIRES	the principal embedding, exact modulus, and oriented phase of J are inherited public inputs
CENTRAL-LIFT-PHASE	J-TENTH-ROOT	REQUIRES	the primitive tenth-root identity 1-J = -zeta_5^2 supplies the frozen mu_10 outside mu_5 obstruction
CENTRAL-LIFT-PHASE	J-GOLDEN-BRIDGE	REQUIRES	the identities J = phi^-1 zeta_5 and phi in Z[zeta_5] supply the exact square-root-free coefficients
CENTRAL-LIFT-PHASE	DEF-ACTION-LAYERS	REQUIRES	the result is confined to L4 quadratic support and creates no state, stream, measure, or cross-layer lift
QUARTIC-CYCLOTOMIC-TOTAL-RAMIFICATION-CENSUS	C20-TEICHMULLER-SPLIT	REQUIRES	the final J compatibility corollary inherits O=Z[zeta_5], the principal prime (1-zeta_5), residue F_5, and its cyclic order-four unit group at the registered L1 scope
QUARTIC-CYCLOTOMIC-TOTAL-RAMIFICATION-CENSUS	RAMIFIED-TM-LIFT	REQUIRES	the final compatibility corollary inherits only J mod (1-zeta_5)=2 in F_5^x at L1; the field and ramification census is proved independently
QUARTIC-CYCLOTOMIC-TOTAL-RAMIFICATION-CENSUS	DEF-ACTION-LAYERS	REQUIRES	the result is confined to L1 exact arithmetic and creates no physical reading or lift to L2-L6
ABELIAN-CM-UNIQUE-EVEN-BIT-DISCRIMINANT-MINIMUM	DEF-ACTION-LAYERS	REQUIRES	the result is confined to L1 exact arithmetic and creates no physical selection, write/read assignment, or lift to L2-L6
FORCE-AS-CURVATURE	FORCE-WEYL-HOLONOMY	REQUIRES	curvature reading rests on the Weyl theorem
MEASURE-BORN-VERB	BORN-FACE-WEIGHTS	REQUIRES	registry scope names the theorem input
COSMOLOGY-READING-DICTIONARY	TT-LINEAR-ZERO	REQUIRES	dictionary reads the exact zero response
COSMOLOGY-READING-DICTIONARY	GYRON-DENSITY	REQUIRES	dictionary reads the exact density
COSMOLOGY-READING-DICTIONARY	COSMOLOGY-REGISTER	REQUIRES	dictionary reads the committed forms
ELECTRON-G-TREE	ELECTRON-G-RATIO	REQUIRES	dictionary rests on the exact ratio
ELECTRON-G-TREE	ELECTRON-G-DOUBLE-COVER	REQUIRES	dictionary rests on the exact double cover
ELECTRON-SIGN	ELECTRON-SIGN-LAWS	REQUIRES	dictionary rests on the exhaustive laws
FRW-INHOM	FRW-CANONICAL-FORM	REQUIRES	inhomogeneous extension starts from the homogeneous theorem
DE-TRACE-DENSITY-UNDERDETERMINATION	FRW-CANONICAL-FORM	REQUIRES	the registered homogeneous continuity identity is the sole coefficient relation tested for density-character selection
DE-CONFORMAL-WEIGHT	DE-TRACE-DENSITY-UNDERDETERMINATION	BOUNDED_BY	FRW continuity alone has at least two exact density-character solutions, so the open dictionary is not derived from that relation
TM-SYM2-MEASURE	GYRON-DENSITY	REQUIRES	registered measure residual uses rho = 1/6
MASS-LADDER-FORMS	NEUTRON-DELTA-EM	BOUNDED_BY	neutron comparison remains open
TT-QUADRATIC-INDUCED	TT-VECTOR-STATE-NORMALIZATION	BOUNDED_BY	normalization remains open
COSMOLOGY-REGISTER	NS-TILT	BOUNDED_BY	tilt remains a live hypothesis
CONFORMAL-PREFACTOR	FRW-INHOM	BOUNDED_BY	inhomogeneous action remains open
CONFORMAL-PREFACTOR	METRO-EDGE-SCALE	BOUNDED_BY	SI clause remains open
STRONG-SEED	ALPHA-S-RUNNING	BOUNDED_BY	running remains open
STRONG-SEED	SCHEME-DICTIONARY	BOUNDED_BY	measurement scheme remains open
ELECTRON-G-TREE	QUANT-SUBSTRATE	BOUNDED_BY	quantum substrate remains open
ALPHA-SEED	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BORN-FACE-WEIGHTS	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BORN-HALF-ANGLE	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BORN-RESIDUAL-SPLIT	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
SPIN-BISECTOR	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BORN-ORDER-STAIRCASE	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
CENSUS-313	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
CENSUS-Z5-SHEET	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
CENSUS-PAIRING	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
CENSUS-HOSTING	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
DIRAC-LADDER	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
LADDER-LIGHTCONE	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
SPINOR-FLOOR	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
FIB-ROOT-TIES	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
FIB-ROOT-CARRIER	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
DIRAC-STEP-THEOREMS	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
DIRAC-STEP	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
LADDER-SPIN-PLACES	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
CHECKERBOARD-GAUSS-TOWER	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
FERMIONIZER	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
LADDER-ALTERNATOR-BASIS	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
TM-BREATH-TOWER	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BOOST-READING-SPLIT	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BOOST-COUNT-LADDER	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
OBSERVER-ALTERNATOR	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
BOOST-AXIS	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
COLOR-RETURN-D5	DEF-ARCHITECTURE	REQUIRES	Canon definition boundary: every downstream statement is conditional on the declared architecture
