claim_id	status	debt	relation	verifier_verdict	registry_quote
BELL-CAUSAL-ACCOUNTING	O	C1-EVENT-LAW;C2-FREEZE-CLASSIFY-DECIDE	species;pattern	WEAK	outcome spaces A,B, an apparatus or instrument map and realized a,b; a normalized kernel P(a,b|x,y,lambda) and induced P(a,b|x,y)
METRO-ADMISSIBILITY	O	C2-FREEZE-CLASSIFY-DECIDE;C3-EXACT-TO-MEASURED	pattern;convention	CONFIRMED	plus non-finite-state, unbounded-memory adaptive, non-reducible stochastic, irrational, out-of-child cross-layer, physical-unit, and mixed-class protocols
METRO-EDGE-SCALE	O	C2-FREEZE-CLASSIFY-DECIDE;C3-EXACT-TO-MEASURED	pattern;convention	CONFIRMED	closes by deriving the canonical selector on the commutator phi ladder (the kinetic coefficient and dressing insertion routes) and the SI clause over the single m_e bridge
QDD-INSTRUMENT-APPARATUS	O	C1-EVENT-LAW;C2-FREEZE-CLASSIFY-DECIDE	species;pattern	CONFIRMED	exact ordered occurrence law and a passed L1-to-L5 gate, while both O2 children close at compatible scope and equality under one target-independent complete apparatus contract
SCHEME-DICTIONARY	O	C3-EXACT-TO-MEASURED;C2-FREEZE-CLASSIFY-DECIDE	convention;pattern	CONFIRMED	STOP until the exact source-seed domain and normalizations, every consumed seed dependency, a named measurement scheme, scale and threshold conventions, a total map with equality and window semantics
ALPHA-S-RUNNING	O	C3-EXACT-TO-MEASURED	convention	WEAK	a running derived from the 3/4 seed matching the measured strong coupling at a named scale within its stated window
COLOR-MEASURE-SELECTION	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	STOP while the carrier, equivalence, observables, action, normalization, equality, or constraints are incomplete
CURVATURE-OPERATOR-CANONICAL	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	closes UNIQUE if exactly one class survives, NONUNIQUE if at least two survive, EMPTY if none survives, and STOP if the classification is incomplete or inexact
DE-CONFORMAL-WEIGHT	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	an explicit registered source and complete typed dictionary uniquely select Delta_DE; closes negatively only after a frozen complete admissible source class excludes every such dictionary
DRESS-CROSSCOUNT	O	C4-SUBSTRATE-DYNAMICS	species	CONFIRMED	closes positively when the integer crossing count per observable is derived
